pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
WTX	Sev	CM022185.2_RagTag	250001	300000	0.0083537402494227	48124	45930	5498136	277104
WTX	AZ	CM022185.2_RagTag	250001	300000	0.008652407779072	48127	162254	18752468	498332
Butte	Sev	CM022185.2_RagTag	250001	300000	0.0080861227836518	48124	35384	4375892	244300
Butte	AZ	CM022185.2_RagTag	250001	300000	0.0083955939082484	48127	125272	14921160	479480
Sev	AZ	CM022185.2_RagTag	250001	300000	0.0082145705593428	48124	45524	5541860	233380
WTX	Butte	CM022185.2_RagTag	300001	350000	0.0087424535054902	38206	103568	11846560	379360
WTX	Sev	CM022185.2_RagTag	300001	350000	0.0085601093541813	38205	37674	4401112	183608
Sev	AZ	CM022185.2_RagTag	300001	350000	0.0086385656762199	38205	38110	4411612	173108
Butte	AZ	CM022185.2_RagTag	300001	350000	0.0088019261771325	38206	104524	11875128	350792
Butte	Sev	CM022185.2_RagTag	300001	350000	0.0083499706938237	38205	29176	3494144	173632
WTX	AZ	CM022185.2_RagTag	300001	350000	0.0090070000970564	38206	134748	14960364	322036
Butte	Sev	CM022185.2_RagTag	350001	400000	0.0072641440947707	43255	28418	3912092	240388
Butte	AZ	CM022185.2_RagTag	350001	400000	0.0074778131393023	43255	100198	13399372	442228
Sev	AZ	CM022185.2_RagTag	350001	400000	0.0075299687517379	43255	37370	4962836	227764
WTX	Sev	CM022185.2_RagTag	350001	400000	0.0076220068863827	43255	37570	4929148	261452
WTX	AZ	CM022185.2_RagTag	350001	400000	0.0078502355366829	43255	132530	16882296	419704
WTX	Butte	CM022185.2_RagTag	350001	400000	0.0076846950434836	43255	102282	13309832	531768
Sev	AZ	CM022185.2_RagTag	400001	450000	0.0080610209192839	42260	38984	4836112	235088
Butte	AZ	CM022185.2_RagTag	400001	450000	0.0081457574662083	42260	106984	13133708	389492
Butte	Sev	CM022185.2_RagTag	400001	450000	0.0079531946080958	42260	30428	3825884	231076
WTX	Butte	CM022185.2_RagTag	400001	450000	0.0083499049328324	42260	108718	13020268	502932
WTX	AZ	CM022185.2_RagTag	400001	450000	0.0084609501432294	42260	139258	16458908	445092
WTX	Sev	CM022185.2_RagTag	400001	450000	0.0081746210509631	42260	39196	4794840	276360
Sev	AZ	CM022185.2_RagTag	450001	500000	0.0081638381275242	39421	37346	4574564	156196
Butte	AZ	CM022185.2_RagTag	450001	500000	0.0080909630884503	39423	99112	12249716	365644
Butte	Sev	CM022185.2_RagTag	450001	500000	0.0079078493585322	39421	28662	3624500	160108
WTX	AZ	CM022185.2_RagTag	450001	500000	0.008454290357617	39423	130240	15405196	364004
WTX	Sev	CM022185.2_RagTag	450001	500000	0.0081866428182131	39421	37312	4557668	173092
WTX	Butte	CM022185.2_RagTag	450001	500000	0.0081861622586911	39423	99896	12203032	412328
WTX	Butte	CM022185.2_RagTag	500001	550000	0.0085365636363801	43062	113066	13244908	534932
WTX	AZ	CM022185.2_RagTag	500001	550000	0.008866807516471	43062	149138	16819808	404992
Butte	Sev	CM022185.2_RagTag	500001	550000	0.0078482768624462	43062	30732	3915764	218188
Sev	AZ	CM022185.2_RagTag	500001	550000	0.0083108408076076	43062	41334	4973504	193936
WTX	Sev	CM022185.2_RagTag	500001	550000	0.0084419786660074	43062	41796	4950972	216468
Butte	AZ	CM022185.2_RagTag	500001	550000	0.0083849433927999	43062	111550	13303608	476232
WTX	Butte	CM022185.2_RagTag	550001	600000	0.0080506890756302	48090	119754	14875000	513800
WTX	Sev	CM022185.2_RagTag	550001	600000	0.0078453168006025	48090	43166	5502136	268664
WTX	AZ	CM022185.2_RagTag	550001	600000	0.0081431240095036	48090	153162	18808752	427248
Butte	Sev	CM022185.2_RagTag	550001	600000	0.0074737439241289	48090	32726	4378796	237844
Butte	AZ	CM022185.2_RagTag	550001	600000	0.0077406755459794	48090	115882	14970528	418272
Sev	AZ	CM022185.2_RagTag	550001	600000	0.0075654517778305	48090	41888	5536748	234052
WTX	Butte	CM022185.2_RagTag	600001	650000	0.0076195910163585	47809	111910	14687140	611740
WTX	AZ	CM022185.2_RagTag	600001	650000	0.0077797631740534	47809	145350	18683088	440512
WTX	Sev	CM022185.2_RagTag	600001	650000	0.0075689140628859	47807	41056	5424292	312788
Butte	Sev	CM022185.2_RagTag	600001	650000	0.0071458437515423	47807	30694	4295364	294300
Butte	AZ	CM022185.2_RagTag	600001	650000	0.0072239281141873	47809	106846	14790568	508312
Sev	AZ	CM022185.2_RagTag	600001	650000	0.0071648017900472	47807	39142	5463096	273984
Sev	AZ	CM022185.2_RagTag	650001	700000	0.0081553361903904	45143	42048	5155888	261272
WTX	Sev	CM022185.2_RagTag	650001	700000	0.0085058401576787	45143	43466	5110136	307024
WTX	AZ	CM022185.2_RagTag	650001	700000	0.009046376183909	45143	158744	17547800	509400
Butte	Sev	CM022185.2_RagTag	650001	700000	0.0079554158060851	45143	32324	4063144	270584
Butte	AZ	CM022185.2_RagTag	650001	700000	0.0084332088312294	45143	117652	13951036	494724
WTX	Butte	CM022185.2_RagTag	650001	700000	0.0088401563316728	45143	122242	13828036	617724
WTX	Butte	CM022185.2_RagTag	700001	750000	0.0096943617435168	44212	130468	13458132	689708
WTX	Sev	CM022185.2_RagTag	700001	750000	0.0094340837928599	44206	46870	4968156	337284
WTX	AZ	CM022185.2_RagTag	700001	750000	0.0097989445997739	44212	167932	17137764	547036
Butte	Sev	CM022185.2_RagTag	700001	750000	0.0090388173064985	44206	35530	3930824	313528
Butte	AZ	CM022185.2_RagTag	700001	750000	0.0092717611301695	44212	125720	13559452	588388
Sev	AZ	CM022185.2_RagTag	700001	750000	0.00918632654007	44206	45988	5006136	299304
Sev	AZ	CM022185.2_RagTag	750001	800000	0.0085675163800163	46768	45526	5313792	299088
Butte	AZ	CM022185.2_RagTag	750001	800000	0.0085635503239707	46774	123432	14413648	554032
Butte	Sev	CM022185.2_RagTag	750001	800000	0.008033141313804	46768	33574	4179436	310868
WTX	Sev	CM022185.2_RagTag	750001	800000	0.0086587139815643	46768	45810	5290624	322256
WTX	Butte	CM022185.2_RagTag	750001	800000	0.0088254935910371	46774	126656	14351152	616528
WTX	AZ	CM022185.2_RagTag	750001	800000	0.0091584485578279	46774	167130	18248724	460876
Butte	AZ	CM022185.2_RagTag	800001	850000	0.0084588479041072	45026	117224	13858152	550168
Butte	Sev	CM022185.2_RagTag	800001	850000	0.0081603677645232	45024	33060	4051288	271208
WTX	AZ	CM022185.2_RagTag	800001	850000	0.0092169169312861	45026	161290	17499344	511056
WTX	Sev	CM022185.2_RagTag	800001	850000	0.0087412505358411	45024	44698	5113456	289664
WTX	Butte	CM022185.2_RagTag	800001	850000	0.008780644684633	45026	121224	13805820	602500
Sev	AZ	CM022185.2_RagTag	800001	850000	0.0085383256293171	45024	43822	5132388	270732
Sev	AZ	CM022185.2_RagTag	850001	900000	0.0081114011788331	46095	42766	5272332	259428
Butte	Sev	CM022185.2_RagTag	850001	900000	0.0080807460979335	46095	33712	4171892	253516
WTX	AZ	CM022185.2_RagTag	850001	900000	0.0089041584124117	46098	160390	18012932	426268
WTX	Sev	CM022185.2_RagTag	850001	900000	0.0086626929682583	46095	45536	5256564	275196
WTX	Butte	CM022185.2_RagTag	850001	900000	0.0088835700339191	46098	126594	14250352	501008
Butte	AZ	CM022185.2_RagTag	850001	900000	0.0082902772239827	46098	118512	14295300	456060
Butte	AZ	CM022185.2_RagTag	900001	950000	0.0074689337680861	46105	106780	14296552	457048
Butte	Sev	CM022185.2_RagTag	900001	950000	0.0070147043467529	46102	29558	4213720	212360
WTX	AZ	CM022185.2_RagTag	900001	950000	0.008019513478922	46105	144314	17995356	446644
WTX	Sev	CM022185.2_RagTag	900001	950000	0.0076171284330812	46102	40400	5303836	228764
WTX	Butte	CM022185.2_RagTag	900001	950000	0.0080027919920897	46105	113828	14223536	530064
Sev	AZ	CM022185.2_RagTag	900001	950000	0.0069904860366588	46102	37270	5331532	201068
WTX	AZ	CM022185.2_RagTag	950001	1000000	0.0071963409335772	42031	118198	16424736	387664
Butte	AZ	CM022185.2_RagTag	950001	1000000	0.0067311714903687	42031	87786	13041712	408208
Butte	Sev	CM022185.2_RagTag	950001	1000000	0.0064406365838089	42028	24902	3866388	168588
Sev	AZ	CM022185.2_RagTag	950001	1000000	0.0065692064055281	42028	32140	4892524	151196
WTX	Sev	CM022185.2_RagTag	950001	1000000	0.0069501898269826	42028	33838	4868644	175076
WTX	Butte	CM022185.2_RagTag	950001	1000000	0.0070766776461682	42031	91842	12978124	471796
WTX	Butte	CM022185.2_RagTag	1000001	1050000	0.0053077882611245	42506	69256	13047996	553924
WTX	Sev	CM022185.2_RagTag	1000001	1050000	0.0053059935873781	42506	25882	4877880	222840
WTX	AZ	CM022185.2_RagTag	1000001	1050000	0.005514117778581	42506	91348	16566204	436196
Butte	Sev	CM022185.2_RagTag	1000001	1050000	0.0052573472243819	42506	20286	3858600	221976
Butte	AZ	CM022185.2_RagTag	1000001	1050000	0.005286215060249	42506	69272	13104272	497648
Sev	AZ	CM022185.2_RagTag	1000001	1050000	0.0053715089480223	42506	26304	4896948	203772
Butte	AZ	CM022185.2_RagTag	1050001	1100000	0.0035336438734542	47872	52298	14800020	519020
Butte	Sev	CM022185.2_RagTag	1050001	1100000	0.0036483501533704	47869	15876	4351556	244156
Sev	AZ	CM022185.2_RagTag	1050001	1100000	0.0036402029231844	47869	20080	5516176	228464
WTX	Sev	CM022185.2_RagTag	1050001	1100000	0.0039090618397594	47869	21418	5479064	265576
WTX	Butte	CM022185.2_RagTag	1050001	1100000	0.0038946897865776	47872	57258	14701556	617484
WTX	AZ	CM022185.2_RagTag	1050001	1100000	0.0039635959272433	47872	73854	18633080	515720
WTX	Butte	CM022185.2_RagTag	1100001	1150000	0.0052478320389233	47817	77206	14711980	589460
WTX	Sev	CM022185.2_RagTag	1100001	1150000	0.0052246948905872	47816	28806	5513432	224608
WTX	AZ	CM022185.2_RagTag	1100001	1150000	0.0054825297732003	47817	102216	18643948	482852
Butte	Sev	CM022185.2_RagTag	1100001	1150000	0.0048433742858864	47816	21222	4381656	208776
Butte	AZ	CM022185.2_RagTag	1100001	1150000	0.0049774296772883	47817	73754	14817688	483752
Sev	AZ	CM022185.2_RagTag	1100001	1150000	0.0050846554061744	47816	28232	5552392	185648
Sev	AZ	CM022185.2_RagTag	1150001	1200000	0.0086635717296448	47324	47192	5447176	231704
Butte	AZ	CM022185.2_RagTag	1150001	1200000	0.008445744828381	47324	123996	14681476	462204
Butte	Sev	CM022185.2_RagTag	1150001	1200000	0.0081430395913154	47324	35068	4306500	236604
WTX	Butte	CM022185.2_RagTag	1150001	1200000	0.0085638620959082	47324	124862	14580104	563576
WTX	Sev	CM022185.2_RagTag	1150001	1200000	0.0086383985021451	47324	46728	5409336	269544
WTX	AZ	CM022185.2_RagTag	1150001	1200000	0.008947911680392	47324	165020	18442292	487308
WTX	Sev	CM022185.2_RagTag	1200001	1250000	0.0096327736839684	46874	51944	5392424	232576
Butte	AZ	CM022185.2_RagTag	1200001	1250000	0.0094417676613881	46875	136302	14436068	563932
Butte	Sev	CM022185.2_RagTag	1200001	1250000	0.0093136743190489	46874	39614	4253316	246684
WTX	AZ	CM022185.2_RagTag	1200001	1250000	0.0101488187515691	46875	185790	18306564	443436
WTX	Butte	CM022185.2_RagTag	1200001	1250000	0.0099067496955117	46875	142474	14381508	618492
Sev	AZ	CM022185.2_RagTag	1200001	1250000	0.0095199284130349	46874	51534	5413276	211724
Sev	AZ	CM022185.2_RagTag	1250001	1300000	0.0097996052009541	47863	54310	5542060	201500
Butte	AZ	CM022185.2_RagTag	1250001	1300000	0.0096479331340967	47863	143272	14850020	466140
Butte	Sev	CM022185.2_RagTag	1250001	1300000	0.0097104020471093	47863	42714	4398788	196060
WTX	AZ	CM022185.2_RagTag	1250001	1300000	0.0103631302761057	47863	193362	18658648	486552
WTX	Sev	CM022185.2_RagTag	1250001	1300000	0.0101254387533288	47863	55952	5525884	217676
WTX	Butte	CM022185.2_RagTag	1250001	1300000	0.0101854915939202	47863	150818	14807140	509020
Sev	AZ	CM022185.2_RagTag	1300001	1350000	0.0088214812222024	48323	48086	5451012	347748
Butte	AZ	CM022185.2_RagTag	1300001	1350000	0.0094221471895291	48323	140866	14950520	512840
Butte	Sev	CM022185.2_RagTag	1300001	1350000	0.0088701071254606	48323	38168	4302992	336016
WTX	AZ	CM022185.2_RagTag	1300001	1350000	0.009897438165583	48323	185288	18720804	608396
WTX	Sev	CM022185.2_RagTag	1300001	1350000	0.0092463811570797	48323	49834	5389568	409192
WTX	Butte	CM022185.2_RagTag	1300001	1350000	0.0096902633078443	48323	143260	14783912	679448
WTX	Butte	CM022185.2_RagTag	1350001	1400000	0.0090580227096059	38646	105386	11634548	732172
Sev	AZ	CM022185.2_RagTag	1350001	1400000	0.0082352832906161	38645	35794	4346420	291100
Butte	AZ	CM022185.2_RagTag	1350001	1400000	0.0086991653242028	38646	102492	11781820	584900
Butte	Sev	CM022185.2_RagTag	1350001	1400000	0.0081531859102609	38645	27760	3404804	305212
WTX	AZ	CM022185.2_RagTag	1350001	1400000	0.0091977515231074	38646	136628	14854500	603900
WTX	Sev	CM022185.2_RagTag	1350001	1400000	0.0086625393402304	38645	37180	4292044	345476
WTX	AZ	CM022185.2_RagTag	1400001	1450000	0.0106695078373078	47773	199022	18653344	455856
Butte	Sev	CM022185.2_RagTag	1400001	1450000	0.0098485667235129	47770	43012	4367336	218872
Butte	AZ	CM022185.2_RagTag	1400001	1450000	0.0099622534099693	47773	147840	14840016	447344
Sev	AZ	CM022185.2_RagTag	1400001	1450000	0.0102539369893563	47770	56682	5527828	204932
WTX	Butte	CM022185.2_RagTag	1400001	1450000	0.0102438028609843	47773	150946	14735348	552012
WTX	Sev	CM022185.2_RagTag	1400001	1450000	0.0102783118984766	47770	56426	5489812	242948
Sev	AZ	CM022185.2_RagTag	1450001	1500000	0.0098058225180566	41248	46122	4703532	246228
Butte	Sev	CM022185.2_RagTag	1450001	1500000	0.0095877804617281	41248	35548	3707636	252172
WTX	AZ	CM022185.2_RagTag	1450001	1500000	0.0107857582909591	41248	173602	16095484	403716
WTX	Sev	CM022185.2_RagTag	1450001	1500000	0.0100722910545384	41248	47060	4672224	277536
WTX	Butte	CM022185.2_RagTag	1450001	1500000	0.010572148520287	41248	134108	12685028	514332
Butte	AZ	CM022185.2_RagTag	1450001	1500000	0.0100656353024968	41248	128550	12771176	428184
Sev	AZ	CM022185.2_RagTag	1500001	1550000	0.0106964156039392	43995	53734	5023552	255968
Butte	Sev	CM022185.2_RagTag	1500001	1550000	0.0104142706681355	43995	41292	3964944	258672
WTX	AZ	CM022185.2_RagTag	1500001	1550000	0.0113378302168507	43996	194850	17185828	412572
WTX	Sev	CM022185.2_RagTag	1500001	1550000	0.0107725437934213	43995	53706	4985452	294068
WTX	Butte	CM022185.2_RagTag	1500001	1550000	0.0110039009755093	43996	149232	13561736	516984
Butte	AZ	CM022185.2_RagTag	1500001	1550000	0.0107026743223322	43996	146280	13667612	411108
Sev	AZ	CM022185.2_RagTag	1550001	1600000	0.0087364460388812	45931	45890	5252708	259612
WTX	Butte	CM022185.2_RagTag	1550001	1600000	0.0093630295136109	45936	132178	14117012	582508
WTX	Sev	CM022185.2_RagTag	1550001	1600000	0.009062635135447	45931	47112	5198488	313832
WTX	AZ	CM022185.2_RagTag	1550001	1600000	0.0094657124711148	45936	169012	17855180	519220
Butte	Sev	CM022185.2_RagTag	1550001	1600000	0.0087059358303189	45931	36160	4153488	256368
Butte	AZ	CM022185.2_RagTag	1550001	1600000	0.0090853593903966	45936	129598	14264488	435032
Butte	AZ	CM022185.2_RagTag	1600001	1650000	0.0077859518650834	42726	102876	13213028	459292
WTX	AZ	CM022185.2_RagTag	1600001	1650000	0.0083097878866927	42726	137488	16545308	545092
WTX	Sev	CM022185.2_RagTag	1600001	1650000	0.0077439496783529	42726	37544	4848172	278948
WTX	Butte	CM022185.2_RagTag	1600001	1650000	0.008112762467887	42726	105638	13021212	651108
Sev	AZ	CM022185.2_RagTag	1600001	1650000	0.0079096771150416	42726	38904	4918532	208588
Butte	Sev	CM022185.2_RagTag	1600001	1650000	0.0077023772501428	42726	29820	3871532	230164
Butte	Sev	CM022185.2_RagTag	1650001	1700000	0.0076232817416658	37628	25748	3377548	234932
Sev	AZ	CM022185.2_RagTag	1650001	1700000	0.0081442106139445	37628	34828	4276412	239188
WTX	Butte	CM022185.2_RagTag	1650001	1700000	0.0084946678544423	37630	97874	11521816	519784
WTX	Sev	CM022185.2_RagTag	1650001	1700000	0.0080859578433791	37628	34220	4232028	283572
WTX	AZ	CM022185.2_RagTag	1650001	1700000	0.0088905793823759	37630	129726	14591400	460600
Butte	AZ	CM022185.2_RagTag	1650001	1700000	0.008338243271208	37630	97026	11636264	405336
Butte	Sev	CM022185.2_RagTag	1700001	1750000	0.01020385292107	47386	43704	4283088	266064
WTX	AZ	CM022185.2_RagTag	1700001	1750000	0.0112808463961243	47387	207206	18367948	586852
WTX	Sev	CM022185.2_RagTag	1700001	1750000	0.0106908023937222	47386	57160	5346652	339788
WTX	Butte	CM022185.2_RagTag	1700001	1750000	0.0109205768953325	47387	158354	14500516	663324
Sev	AZ	CM022185.2_RagTag	1700001	1750000	0.0106447551735811	47386	57732	5423516	262924
Butte	AZ	CM022185.2_RagTag	1700001	1750000	0.0105113165115286	47387	154616	14709480	454360
Sev	AZ	CM022185.2_RagTag	1750001	1800000	0.0123275382333289	37811	52988	4298344	239096
Butte	AZ	CM022185.2_RagTag	1750001	1800000	0.012201189646119	37812	141740	11616900	482940
Butte	Sev	CM022185.2_RagTag	1750001	1800000	0.0122964054750055	37811	41580	3381476	248476
WTX	AZ	CM022185.2_RagTag	1750001	1800000	0.012469908150671	37812	181132	14525528	599272
WTX	Sev	CM022185.2_RagTag	1750001	1800000	0.0122869841486034	37811	51962	4229028	308412
WTX	Butte	CM022185.2_RagTag	1750001	1800000	0.0123110592794125	37812	140654	11425012	674828
Sev	AZ	CM022185.2_RagTag	1800001	1850000	0.0126412691370678	46142	66106	5229380	307900
Butte	AZ	CM022185.2_RagTag	1800001	1850000	0.0126060560321097	46144	179060	14204284	561796
Butte	Sev	CM022185.2_RagTag	1800001	1850000	0.0124849779028229	46142	51404	4117268	312556
WTX	AZ	CM022185.2_RagTag	1800001	1850000	0.0131747157730978	46144	233938	17756588	701012
WTX	Sev	CM022185.2_RagTag	1800001	1850000	0.0124236347525999	46142	63936	5146320	390960
WTX	Butte	CM022185.2_RagTag	1800001	1850000	0.0129267327685074	46144	180612	13971976	794104
Butte	AZ	CM022185.2_RagTag	1850001	1900000	0.0108457648208223	47436	159058	14665448	514072
WTX	Butte	CM022185.2_RagTag	1850001	1900000	0.0110067584508339	47436	158918	14438220	741300
WTX	Sev	CM022185.2_RagTag	1850001	1900000	0.0107804036402046	47433	57358	5320580	371740
WTX	AZ	CM022185.2_RagTag	1850001	1900000	0.0114930471883992	47436	210808	18342220	632180
Butte	Sev	CM022185.2_RagTag	1850001	1900000	0.0104381592292804	47433	44418	4255348	298508
Sev	AZ	CM022185.2_RagTag	1850001	1900000	0.0108776997162693	47433	58780	5403716	288604
Butte	Sev	CM022185.2_RagTag	1900001	1950000	0.0105479135073078	44892	42484	4027716	282588
WTX	AZ	CM022185.2_RagTag	1900001	1950000	0.0112076617699192	44899	193736	17286032	673568
WTX	Sev	CM022185.2_RagTag	1900001	1950000	0.010552653701955	44892	52972	5019780	368100
WTX	Butte	CM022185.2_RagTag	1900001	1950000	0.0108287125233289	44899	147654	13635416	732264
Sev	AZ	CM022185.2_RagTag	1900001	1950000	0.0109580321189234	44892	55982	5108764	279116
Butte	AZ	CM022185.2_RagTag	1900001	1950000	0.0105780293994953	44899	146768	13874796	492884
Butte	AZ	CM022185.2_RagTag	1950001	2000000	0.0112671453802403	38805	133228	11824468	593132
Butte	Sev	CM022185.2_RagTag	1950001	2000000	0.0114793543741328	38796	39216	3416220	309060
WTX	AZ	CM022185.2_RagTag	1950001	2000000	0.011917603937327	38805	177958	14932364	589636
WTX	Sev	CM022185.2_RagTag	1950001	2000000	0.01173416888378	38796	50632	4314920	341680
WTX	Butte	CM022185.2_RagTag	1950001	2000000	0.011649953348581	38805	135450	11626656	790944
Sev	AZ	CM022185.2_RagTag	1950001	2000000	0.0115995667087922	38796	50886	4386888	269712
Sev	AZ	CM022185.2_RagTag	2000001	2050000	0.0115667875525303	43628	57206	4945712	289648
Butte	Sev	CM022185.2_RagTag	2000001	2050000	0.011217134428698	43628	43622	3888872	299416
WTX	AZ	CM022185.2_RagTag	2000001	2050000	0.0121343142362286	43628	204322	16838364	612836
WTX	Sev	CM022185.2_RagTag	2000001	2050000	0.0116588183860566	43628	56856	4876652	358708
WTX	Butte	CM022185.2_RagTag	2000001	2050000	0.0116745515354946	43628	154538	13237168	723792
Butte	AZ	CM022185.2_RagTag	2000001	2050000	0.0110403110636265	43628	148306	13433136	527824
WTX	AZ	CM022185.2_RagTag	2050001	2100000	0.0118461325032731	47741	218600	18453280	643120
Butte	AZ	CM022185.2_RagTag	2050001	2100000	0.0110822470521087	47741	163800	14780396	496724
Butte	Sev	CM022185.2_RagTag	2050001	2100000	0.0107544475933393	47738	46008	4278044	305092
WTX	Sev	CM022185.2_RagTag	2050001	2100000	0.0108945100148151	47738	58182	5340488	388432
WTX	Butte	CM022185.2_RagTag	2050001	2100000	0.0116298055168102	47741	169524	14576684	700436
Sev	AZ	CM022185.2_RagTag	2050001	2100000	0.0110217887341526	47738	59684	5415092	313828
WTX	Sev	CM022185.2_RagTag	2100001	2150000	0.0117239527118612	42282	55702	4751128	323072
Sev	AZ	CM022185.2_RagTag	2100001	2150000	0.0116825890083305	42282	56482	4834716	239484
Butte	AZ	CM022185.2_RagTag	2100001	2150000	0.0119510438280675	42285	155696	13027816	503384
Butte	Sev	CM022185.2_RagTag	2100001	2150000	0.0116101408757914	42282	44286	3814424	244936
WTX	AZ	CM022185.2_RagTag	2100001	2150000	0.0122975931488836	42285	199498	16222524	691476
WTX	Butte	CM022185.2_RagTag	2100001	2150000	0.0120064807149038	42285	153666	12798588	732612
Sev	AZ	CM022185.2_RagTag	2150001	2200000	0.0089726543613662	48329	50478	5625760	173720
Butte	AZ	CM022185.2_RagTag	2150001	2200000	0.0092174614984936	48329	138302	15004348	460932
Butte	Sev	CM022185.2_RagTag	2150001	2200000	0.0088842672524201	48329	39540	4450564	189020
WTX	Sev	CM022185.2_RagTag	2150001	2200000	0.0090256234886049	48329	50252	5567704	231776
WTX	Butte	CM022185.2_RagTag	2150001	2200000	0.0094683669915449	48329	140604	14849868	615412
WTX	AZ	CM022185.2_RagTag	2150001	2200000	0.0095336655968352	48329	178976	18773052	558548
Sev	AZ	CM022185.2_RagTag	2200001	2250000	0.007878747125565	44238	40306	5115788	193012
Butte	AZ	CM022185.2_RagTag	2200001	2250000	0.0079707526671	44240	109330	13716396	440404
Butte	Sev	CM022185.2_RagTag	2200001	2250000	0.0078544902176432	44238	31852	4055260	191780
WTX	AZ	CM022185.2_RagTag	2200001	2250000	0.008287637015762	44240	141542	17078692	617308
WTX	Sev	CM022185.2_RagTag	2200001	2250000	0.0081647641563248	44238	41222	5048768	260032
WTX	Butte	CM022185.2_RagTag	2200001	2250000	0.008263535912092	44240	111846	13534884	621916
Butte	AZ	CM022185.2_RagTag	2250001	2300000	0.0113609693149563	46741	163226	14367260	589860
Butte	Sev	CM022185.2_RagTag	2250001	2300000	0.0108938312569525	46737	45596	4185488	301648
WTX	AZ	CM022185.2_RagTag	2250001	2300000	0.012187156078648	46741	220234	18070992	625408
WTX	Sev	CM022185.2_RagTag	2250001	2300000	0.0117016119350362	46737	61600	5264232	344688
WTX	Butte	CM022185.2_RagTag	2250001	2300000	0.0119244155262042	46741	169624	14224932	732188
Sev	AZ	CM022185.2_RagTag	2250001	2300000	0.011409040581524	46737	60672	5317888	291032
Sev	AZ	CM022185.2_RagTag	2300001	2350000	0.0121113873886433	47914	65328	5393932	356108
Butte	AZ	CM022185.2_RagTag	2300001	2350000	0.0125064572968744	47917	184286	14735268	598172
Butte	Sev	CM022185.2_RagTag	2300001	2350000	0.0116511948265455	47914	49496	4248148	351884
WTX	Sev	CM022185.2_RagTag	2300001	2350000	0.0123384346938806	47914	65394	5300024	450016
WTX	Butte	CM022185.2_RagTag	2300001	2350000	0.0125965555456113	47917	182408	14480784	852656
WTX	AZ	CM022185.2_RagTag	2300001	2350000	0.0130652764487564	47917	240198	18384456	782344
Sev	AZ	CM022185.2_RagTag	2350001	2400000	0.0120345077119507	46587	63528	5278820	312100
