pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
WTX	CM022185.2_RagTag	350001	400000	0.0077281400633504	43255	61610	7972164	246286
Butte	CM022185.2_RagTag	400001	450000	0.0078241665229669	42260	38159	4877069	194131
WTX	CM022185.2_RagTag	400001	450000	0.0085323552463332	42260	66201	7758819	270581
AZ	CM022185.2_RagTag	400001	450000	0.0080941223593206	42260	63857	7889305	140095
Sev	CM022185.2_RagTag	400001	450000	0.007622198765833	42260	4506	591168	42732
AZ	CM022185.2_RagTag	450001	500000	0.0081190942006256	39423	59664	7348603	141767
Sev	CM022185.2_RagTag	450001	500000	0.0074591836014427	39421	4227	566684	24661
Butte	CM022185.2_RagTag	450001	500000	0.0078641983358724	39423	35820	4554819	175941
WTX	CM022185.2_RagTag	450001	500000	0.0084404322668127	39423	61574	7295124	195246
Sev	CM022185.2_RagTag	500001	550000	0.0076688566817196	43062	4704	613390	32540
WTX	CM022185.2_RagTag	500001	550000	0.0088823755181574	43062	70701	7959695	222085
Butte	CM022185.2_RagTag	500001	550000	0.0080507185919922	43062	39602	4919064	248376
AZ	CM022185.2_RagTag	500001	550000	0.0084396725515159	43062	67761	8028866	152914
WTX	CM022185.2_RagTag	550001	600000	0.0080766435185523	48090	71749	8883517	253583
Butte	CM022185.2_RagTag	550001	600000	0.0076284898451465	48090	42390	5556801	213999
AZ	CM022185.2_RagTag	550001	600000	0.007691929699578	48090	69188	8994882	142218
Sev	CM022185.2_RagTag	550001	600000	0.0070168362855956	48090	4767	679366	41984
WTX	CM022185.2_RagTag	600001	650000	0.0078298206209388	47809	69058	8819870	263840
AZ	CM022185.2_RagTag	600001	650000	0.0071785970472429	47809	64178	8940187	143523
Sev	CM022185.2_RagTag	600001	650000	0.0067370682799619	47807	4490	666462	50673
Butte	CM022185.2_RagTag	600001	650000	0.0070520058411959	47809	38498	5459156	277924
AZ	CM022185.2_RagTag	650001	700000	0.0086016789503648	45143	72371	8413590	163580
Sev	CM022185.2_RagTag	650001	700000	0.0073820224362735	45143	4655	630586	46559
Butte	CM022185.2_RagTag	650001	700000	0.0081129995175101	45143	41869	5160730	256430
WTX	CM022185.2_RagTag	650001	700000	0.0090151887515091	45143	74558	8270265	306905
WTX	CM022185.2_RagTag	700001	750000	0.0100002498114665	44212	80863	8086098	314182
Butte	CM022185.2_RagTag	700001	750000	0.0089305425354582	44212	44660	5000816	304624
Sev	CM022185.2_RagTag	700001	750000	0.0084871749902064	44206	5178	610097	53083
AZ	CM022185.2_RagTag	700001	750000	0.0090178428395045	44212	74024	8208615	191665
AZ	CM022185.2_RagTag	750001	800000	0.0086195912469555	46774	75091	8711666	175394
Sev	CM022185.2_RagTag	750001	800000	0.0074607046907327	46768	4832	647660	53950
WTX	CM022185.2_RagTag	750001	800000	0.0089927992994175	46774	77664	8636243	250817
Butte	CM022185.2_RagTag	750001	800000	0.0080498131742935	46774	42846	5322608	290272
Sev	CM022185.2_RagTag	800001	850000	0.0077863375645554	45024	4906	630078	45312
WTX	CM022185.2_RagTag	800001	850000	0.0091179116695368	45026	75564	8287424	267516
Butte	CM022185.2_RagTag	800001	850000	0.0079138712755631	45026	40629	5133897	269223
AZ	CM022185.2_RagTag	800001	850000	0.0086465974972398	45026	72201	8350221	204719
AZ	CM022185.2_RagTag	850001	900000	0.0080872234793679	46098	69455	8588238	170382
Sev	CM022185.2_RagTag	850001	900000	0.0075926407408783	46095	4906	646152	45318
Butte	CM022185.2_RagTag	850001	900000	0.0082010939815193	46098	43537	5308682	223078
WTX	CM022185.2_RagTag	850001	900000	0.0090025619675235	46098	76839	8535237	223383
WTX	CM022185.2_RagTag	900001	950000	0.0082495834490337	46105	70202	8509763	250187
Butte	CM022185.2_RagTag	900001	950000	0.007372085765631	46105	39119	5306368	226232
Sev	CM022185.2_RagTag	900001	950000	0.0062599543598767	46102	4123	658631	32944
AZ	CM022185.2_RagTag	900001	950000	0.0072182382626999	46105	62053	8596696	163254
Butte	CM022185.2_RagTag	950001	1000000	0.0065492307584175	42031	31681	4837362	206358
Sev	CM022185.2_RagTag	950001	1000000	0.0062337277131463	42028	3783	606860	23605
AZ	CM022185.2_RagTag	950001	1000000	0.0066693618476855	42031	52312	7843629	142261
WTX	CM022185.2_RagTag	950001	1000000	0.0072580488432078	42031	56393	7769719	216171
WTX	CM022185.2_RagTag	1000001	1050000	0.0054066854523843	42506	42398	7841773	234367
Butte	CM022185.2_RagTag	1000001	1050000	0.0050705043821861	42506	24571	4845869	254851
Sev	CM022185.2_RagTag	1000001	1050000	0.0049390846229832	42506	2985	604363	33227
AZ	CM022185.2_RagTag	1000001	1050000	0.0053378442470041	42506	42205	7906750	169390
Sev	CM022185.2_RagTag	1050001	1100000	0.003471691232693	47869	2361	680072	38008
AZ	CM022185.2_RagTag	1050001	1100000	0.0036359843335711	47872	32418	8915880	179800
WTX	CM022185.2_RagTag	1050001	1100000	0.0039533898911871	47872	34785	8798778	296902
Butte	CM022185.2_RagTag	1050001	1100000	0.0033538148823346	47872	18384	5481519	263121
WTX	CM022185.2_RagTag	1100001	1150000	0.0053689691854169	47817	47246	8799827	285403
Butte	CM022185.2_RagTag	1100001	1150000	0.0046006734585794	47817	25253	5488979	249061
Sev	CM022185.2_RagTag	1100001	1150000	0.0048568473693167	47816	3339	687483	29772
AZ	CM022185.2_RagTag	1100001	1150000	0.0051937805973419	47817	46346	8923365	161865
WTX	CM022185.2_RagTag	1150001	1200000	0.008833034515447	47324	76910	8707087	284473
Butte	CM022185.2_RagTag	1150001	1200000	0.0080609817065158	47324	43922	5448716	230164
Sev	CM022185.2_RagTag	1150001	1200000	0.0078959272302747	47324	5289	669839	40021
AZ	CM022185.2_RagTag	1150001	1200000	0.0086753407611172	47324	76569	8826051	165509
Butte	CM022185.2_RagTag	1200001	1250000	0.009193306286357	46875	48973	5327028	297972
Sev	CM022185.2_RagTag	1200001	1250000	0.0086274580179727	46874	5769	668679	34446
WTX	CM022185.2_RagTag	1200001	1250000	0.0101409222151686	46875	87907	8668541	237709
AZ	CM022185.2_RagTag	1200001	1250000	0.0093800968985435	46875	81913	8732639	173611
AZ	CM022185.2_RagTag	1250001	1300000	0.0097550976763462	47863	86759	8893709	200261
Sev	CM022185.2_RagTag	1250001	1300000	0.009165070251952	47863	6296	686956	30989
Butte	CM022185.2_RagTag	1250001	1300000	0.0094287670955499	47863	52153	5531264	212296
WTX	CM022185.2_RagTag	1250001	1300000	0.0104223501722847	47863	92167	8843207	250763
AZ	CM022185.2_RagTag	1300001	1350000	0.0094795020327428	48323	85296	8997941	183429
Sev	CM022185.2_RagTag	1300001	1350000	0.0079097209697781	48323	5219	659821	65024
Butte	CM022185.2_RagTag	1300001	1350000	0.009065337935212	48323	50254	5543533	255227
WTX	CM022185.2_RagTag	1300001	1350000	0.0098593936672845	48323	86784	8802164	379206
WTX	CM022185.2_RagTag	1350001	1400000	0.0092891362067915	38646	64811	6977075	365665
AZ	CM022185.2_RagTag	1350001	1400000	0.0087628775135751	38646	62650	7149478	193262
Sev	CM022185.2_RagTag	1350001	1400000	0.0073987826465604	38645	3908	528195	51495
Butte	CM022185.2_RagTag	1350001	1400000	0.0084974313685863	38646	36833	4334604	302916
Butte	CM022185.2_RagTag	1400001	1450000	0.0095035032368531	47773	52301	5503339	229421
AZ	CM022185.2_RagTag	1400001	1450000	0.0102189610945063	47773	91223	8926837	150033
Sev	CM022185.2_RagTag	1400001	1450000	0.0093115471990513	47770	6345	681412	35183
WTX	CM022185.2_RagTag	1400001	1450000	0.0105631971193324	47773	93005	8804626	272244
Sev	CM022185.2_RagTag	1450001	1500000	0.0085055419384755	41248	4879	573626	45094
Butte	CM022185.2_RagTag	1450001	1500000	0.0098289129641683	41248	46447	4725548	224212
WTX	CM022185.2_RagTag	1450001	1500000	0.010717697608043	41248	81460	7600513	236607
AZ	CM022185.2_RagTag	1450001	1500000	0.0101358212777318	41248	78053	7700708	136412
WTX	CM022185.2_RagTag	1500001	1550000	0.011324845178106	43996	91813	8107219	252021
Butte	CM022185.2_RagTag	1500001	1550000	0.0103592367589338	43996	52440	5062149	217371
Sev	CM022185.2_RagTag	1500001	1550000	0.0090335136335361	43995	5533	612497	47443
AZ	CM022185.2_RagTag	1500001	1550000	0.0109250001093484	43996	89919	8230572	128668
AZ	CM022185.2_RagTag	1550001	1600000	0.0090629885400637	45936	77712	8574655	153185
Sev	CM022185.2_RagTag	1550001	1600000	0.0073305720369675	45931	4706	641969	47071
Butte	CM022185.2_RagTag	1550001	1600000	0.0087610916183019	45936	46381	5293975	218345
WTX	CM022185.2_RagTag	1550001	1600000	0.0095553558235392	45936	80277	8401257	326583
AZ	CM022185.2_RagTag	1600001	1650000	0.0080094307054	42726	63894	7977346	140594
Butte	CM022185.2_RagTag	1600001	1650000	0.007479650484005	42726	36517	4882180	244940
WTX	CM022185.2_RagTag	1600001	1650000	0.008176072975803	42726	63410	7755557	362383
Sev	CM022185.2_RagTag	1600001	1650000	0.0067486946952082	42726	4078	604265	36625
Butte	CM022185.2_RagTag	1650001	1700000	0.0076991814837537	37630	33206	4312926	202674
WTX	CM022185.2_RagTag	1650001	1700000	0.008840139464849	37630	60729	6869688	280012
AZ	CM022185.2_RagTag	1650001	1700000	0.0086408607197809	37630	60527	7004742	144958
Sev	CM022185.2_RagTag	1650001	1700000	0.0064581343337975	37628	3367	521358	43092
WTX	CM022185.2_RagTag	1700001	1750000	0.0112369742140976	47387	96754	8610325	393205
Butte	CM022185.2_RagTag	1700001	1750000	0.0098768417148012	47387	53839	5451034	235406
AZ	CM022185.2_RagTag	1700001	1750000	0.0107590198424166	47387	95267	8854617	148913
Sev	CM022185.2_RagTag	1700001	1750000	0.008669992377531	47386	5744	662515	48290
AZ	CM022185.2_RagTag	1750001	1800000	0.0121400748273926	37812	85209	7018820	165460
Sev	CM022185.2_RagTag	1750001	1800000	0.010429662538417	37811	5484	525808	41372
Butte	CM022185.2_RagTag	1750001	1800000	0.0115646854654471	37812	49619	4290562	246878
WTX	CM022185.2_RagTag	1750001	1800000	0.0122760958445666	37812	83433	6796379	387901
AZ	CM022185.2_RagTag	1800001	1850000	0.0126317551195658	46144	108382	8580122	187238
Sev	CM022185.2_RagTag	1800001	1850000	0.0106029569074499	46142	6760	637558	54602
Butte	CM022185.2_RagTag	1800001	1850000	0.0123082240735105	46144	64595	5248117	289163
WTX	CM022185.2_RagTag	1800001	1850000	0.0128668451963103	46144	106896	8307864	459496
Sev	CM022185.2_RagTag	1850001	1900000	0.0088362000239924	47433	5819	658541	52999
WTX	CM022185.2_RagTag	1850001	1900000	0.0111212063733591	47436	95511	8588187	424653
Butte	CM022185.2_RagTag	1850001	1900000	0.0103885631513149	47436	56299	5419325	272995
AZ	CM022185.2_RagTag	1850001	1900000	0.010990610810105	47436	97311	8854012	158828
Sev	CM022185.2_RagTag	1900001	1950000	0.0086245794895263	44892	5371	622755	50730
WTX	CM022185.2_RagTag	1900001	1950000	0.0109089247895027	44899	88116	8077423	453387
Butte	CM022185.2_RagTag	1900001	1950000	0.0102690913451374	44899	52753	5137066	250814
AZ	CM022185.2_RagTag	1900001	1950000	0.0106903957814375	44899	89390	8361711	169099
AZ	CM022185.2_RagTag	1950001	2000000	0.0113910157674764	38805	82230	7218847	154103
Sev	CM022185.2_RagTag	1950001	2000000	0.0100042583285966	38796	5333	533073	49002
Butte	CM022185.2_RagTag	1950001	2000000	0.0108711206728147	38805	47024	4325589	331011
WTX	CM022185.2_RagTag	1950001	2000000	0.011533025936814	38805	80537	6983163	389787
WTX	CM022185.2_RagTag	2000001	2050000	0.012028390036121	43628	94939	7892910	396410
Butte	CM022185.2_RagTag	2000001	2050000	0.0105264898078748	43628	52213	4960153	275207
Sev	CM022185.2_RagTag	2000001	2050000	0.01001400664942	43628	6027	601857	52563
AZ	CM022185.2_RagTag	2000001	2050000	0.0113404782780207	43628	92080	8119587	169733
Butte	CM022185.2_RagTag	2050001	2100000	0.0109293575178213	47741	59909	5481475	247445
Sev	CM022185.2_RagTag	2050001	2100000	0.0090159817039765	47738	5941	658941	57174
WTX	CM022185.2_RagTag	2050001	2100000	0.0117905285915783	47741	102041	8654489	416301
AZ	CM022185.2_RagTag	2050001	2100000	0.0110988436610069	47741	98697	8892548	178242
Butte	CM022185.2_RagTag	2100001	2150000	0.0115408768480724	42285	55703	4826583	247617
AZ	CM022185.2_RagTag	2100001	2150000	0.0120489112174021	42285	94563	7848261	185889
Sev	CM022185.2_RagTag	2100001	2150000	0.0098226337988817	42282	5836	594138	40137
WTX	CM022185.2_RagTag	2100001	2150000	0.0119410676025505	42285	90515	7580143	454007
AZ	CM022185.2_RagTag	2150001	2200000	0.0091925225777801	48329	82864	9014283	168227
Sev	CM022185.2_RagTag	2150001	2200000	0.0072680455187307	48329	5075	698262	26673
WTX	CM022185.2_RagTag	2150001	2200000	0.0094522471941913	48329	83491	8832926	349584
Butte	CM022185.2_RagTag	2150001	2200000	0.0091162410021744	48329	50791	5571485	227995
AZ	CM022185.2_RagTag	2200001	2250000	0.0078636441550579	44240	64685	8225830	179770
Sev	CM022185.2_RagTag	2200001	2250000	0.0066889526533266	44238	4238	633582	30018
Butte	CM022185.2_RagTag	2200001	2250000	0.0079501333515748	44240	40561	5101927	206873
WTX	CM022185.2_RagTag	2200001	2250000	0.0083846262969738	44240	67202	8014907	390693
Sev	CM022185.2_RagTag	2250001	2300000	0.0092456007719777	46737	6017	650796	50319
Butte	CM022185.2_RagTag	2250001	2300000	0.0110750316730766	46741	58814	5310504	298416
WTX	CM022185.2_RagTag	2250001	2300000	0.0123387679590224	46741	104984	8508467	372323
AZ	CM022185.2_RagTag	2250001	2300000	0.0114791452549034	46741	99572	8674165	206625
AZ	CM022185.2_RagTag	2300001	2350000	0.0126007523109158	47917	112030	8890739	213491
Sev	CM022185.2_RagTag	2300001	2350000	0.0097257874619955	47914	6369	654857	63898
WTX	CM022185.2_RagTag	2300001	2350000	0.0126583206456498	47917	108781	8593636	510594
Butte	CM022185.2_RagTag	2300001	2350000	0.0119102976803693	47917	64904	5449402	300638
WTX	CM022185.2_RagTag	2350001	2400000	0.01243459772215	46591	105082	8450776	401514
Butte	CM022185.2_RagTag	2350001	2400000	0.0117669306425653	46591	62100	5277502	313418
Sev	CM022185.2_RagTag	2350001	2400000	0.0100268964828636	46587	6427	640976	57889
AZ	CM022185.2_RagTag	2350001	2400000	0.0122964036528779	46591	106953	8697909	154381
AZ	CM022185.2_RagTag	2400001	2450000	0.0121428939784438	44657	101250	8338210	146620
WTX	CM022185.2_RagTag	2400001	2450000	0.0121966555222218	44657	98056	8039581	445249
Butte	CM022185.2_RagTag	2400001	2450000	0.0111106963633932	44657	56257	5063319	295521
Sev	CM022185.2_RagTag	2400001	2450000	0.0094556639705918	44657	5767	609899	59956
Sev	CM022185.2_RagTag	2450001	2500000	0.0083965478010338	44957	5240	624066	50424
AZ	CM022185.2_RagTag	2450001	2500000	0.0104925940740652	44966	87876	8375050	168490
WTX	CM022185.2_RagTag	2450001	2500000	0.0109601927082011	44966	88970	8117558	425982
Butte	CM022185.2_RagTag	2450001	2500000	0.0103158990355615	44966	52093	5049778	346142
WTX	CM022185.2_RagTag	2500001	2550000	0.0097185850080238	47869	84149	8658565	436545
Butte	CM022185.2_RagTag	2500001	2550000	0.0085999706920166	47869	47419	5513856	230424
Sev	CM022185.2_RagTag	2500001	2550000	0.0077232570129985	47868	5108	661379	56656
AZ	CM022185.2_RagTag	2500001	2550000	0.008910743104922	47869	79590	8931915	163195
WTX	CM022185.2_RagTag	2550001	2600000	0.0088232946467026	46678	73730	8356289	512531
Butte	CM022185.2_RagTag	2550001	2600000	0.0083916763703588	46678	44544	5308117	293243
Sev	CM022185.2_RagTag	2550001	2600000	0.0068844099449308	46677	4493	652634	47536
AZ	CM022185.2_RagTag	2550001	2600000	0.009018964198534	46678	78557	8710202	158618
AZ	CM022185.2_RagTag	2600001	2650000	0.0103135257099706	46179	88968	8626342	147668
Sev	CM022185.2_RagTag	2600001	2650000	0.0082074292854708	46168	5202	633816	58869
WTX	CM022185.2_RagTag	2600001	2650000	0.0103569359178301	46179	85922	8296083	477927
Butte	CM022185.2_RagTag	2600001	2650000	0.0099755815644639	46179	52128	5225560	315920
WTX	CM022185.2_RagTag	2650001	2700000	0.0094581575903532	33324	56962	6022526	309034
Butte	CM022185.2_RagTag	2650001	2700000	0.0084144829411682	33324	32012	3804393	194487
Sev	CM022185.2_RagTag	2650001	2700000	0.0075099596927879	33323	3527	469643	30217
AZ	CM022185.2_RagTag	2650001	2700000	0.0093538770097118	33324	58167	6218491	113069
Butte	CM022185.2_RagTag	2700001	2750000	0.0081716143451593	47274	43816	5361976	310904
AZ	CM022185.2_RagTag	2700001	2750000	0.0087850046554903	47274	77198	8787474	194586
Sev	CM022185.2_RagTag	2700001	2750000	0.0071362469108218	47272	4727	662393	46717
WTX	CM022185.2_RagTag	2700001	2750000	0.0087988250318867	47274	75311	8559211	422849
AZ	CM022185.2_RagTag	2750001	2800000	0.0103169250683601	47732	91801	8898097	170983
Sev	CM022185.2_RagTag	2750001	2800000	0.0080390360913785	47732	5389	670354	45626
Butte	CM022185.2_RagTag	2750001	2800000	0.0093182208470996	47732	50789	5450504	277336
WTX	CM022185.2_RagTag	2750001	2800000	0.0105260127975396	47732	91056	8650569	418511
WTX	CM022185.2_RagTag	2800001	2850000	0.010288578796084	47538	87659	8520030	512190
AZ	CM022185.2_RagTag	2800001	2850000	0.0099594521493681	47538	88171	8852997	179223
Sev	CM022185.2_RagTag	2800001	2850000	0.0088163934275283	47535	5745	651627	61443
Butte	CM022185.2_RagTag	2800001	2850000	0.0094587855078084	47538	51265	5419829	284731
Sev	CM022185.2_RagTag	2850001	2900000	0.0079256606508839	46620	5161	651176	48214
Butte	CM022185.2_RagTag	2850001	2900000	0.0095069199716691	46626	50617	5324227	270893
WTX	CM022185.2_RagTag	2850001	2900000	0.0103552692037447	46626	86879	8389835	469105
AZ	CM022185.2_RagTag	2850001	2900000	0.0099253914077456	46626	86176	8682378	176562
WTX	CM022185.2_RagTag	2900001	2950000	0.0106101246530075	41342	79291	7473145	381835
Butte	CM022185.2_RagTag	2900001	2950000	0.0099398727299763	41342	46926	4720986	240054
Sev	CM022185.2_RagTag	2900001	2950000	0.0077732932228839	41337	4447	572087	48043
AZ	CM022185.2_RagTag	2900001	2950000	0.0099359028816919	41342	76606	7710019	144961
AZ	CM022185.2_RagTag	2950001	3000000	0.0087921544040409	43445	71154	8092897	161653
Sev	CM022185.2_RagTag	2950001	3000000	0.0076488204916937	43445	4753	621403	30272
Butte	CM022185.2_RagTag	2950001	3000000	0.0084206724257291	43445	41964	4983450	229950
WTX	CM022185.2_RagTag	2950001	3000000	0.0097887207422774	43445	76909	7856900	397650
WTX	CM022185.2_RagTag	3000001	3050000	0.009787853561462	43322	76777	7844110	387070
Butte	CM022185.2_RagTag	3000001	3050000	0.0093330186306941	43322	45948	4923166	275474
Sev	CM022185.2_RagTag	3000001	3050000	0.0080794329599431	43316	4914	608211	41619
AZ	CM022185.2_RagTag	3000001	3050000	0.0097143611830932	43322	78409	8071452	159728
WTX	CM022185.2_RagTag	3050001	3100000	0.0127643273964642	46999	108296	8484270	445540
Butte	CM022185.2_RagTag	3050001	3100000	0.0113139277572161	46999	60530	5350043	289837
Sev	CM022185.2_RagTag	3050001	3100000	0.0097499855306648	46998	6233	639283	65702
AZ	CM022185.2_RagTag	3050001	3100000	0.0121972322202716	46999	106506	8731981	197829
AZ	CM022185.2_RagTag	3100001	3150000	0.0133222655450788	47052	116229	8724417	215463
Sev	CM022185.2_RagTag	3100001	3150000	0.0114091640647131	47052	7330	642466	63314
WTX	CM022185.2_RagTag	3100001	3150000	0.0135995082647684	47052	115293	8477733	462147
Butte	CM022185.2_RagTag	3100001	3150000	0.0131700949287578	47052	70764	5373082	273158
WTX	CM022185.2_RagTag	3150001	3200000	0.0115829950895619	46618	97614	8427354	430066
Butte	CM022185.2_RagTag	3150001	3200000	0.0106765342640443	46618	56638	5304905	289255
Sev	CM022185.2_RagTag	3150001	3200000	0.0087926597223916	46613	5767	655888	43382
AZ	CM022185.2_RagTag	3150001	3200000	0.0115701103253952	46618	100340	8672346	185074
AZ	CM022185.2_RagTag	3200001	3250000	0.0118566271348834	47903	106015	8941413	160157
Sev	CM022185.2_RagTag	3200001	3250000	0.0098202358862603	47903	6462	658029	60516
Butte	CM022185.2_RagTag	3200001	3250000	0.0111024296618769	47903	60391	5439440	308920
WTX	CM022185.2_RagTag	3200001	3250000	0.012482011324356	47903	107994	8651971	449599
Sev	CM022185.2_RagTag	3250001	3300000	0.0105763971406476	46422	6729	636228	60117
Butte	CM022185.2_RagTag	3250001	3300000	0.0114173686584319	46423	59641	5223708	347052
WTX	CM022185.2_RagTag	3250001	3300000	0.012730032097629	46423	104858	8237057	583313
AZ	CM022185.2_RagTag	3250001	3300000	0.012392336483928	46423	107064	8639533	180837
Butte	CM022185.2_RagTag	3300001	3350000	0.012002315278955	47549	65546	5461113	244767
AZ	CM022185.2_RagTag	3300001	3350000	0.0128881911369076	47549	114233	8863385	170925
WTX	CM022185.2_RagTag	3300001	3350000	0.0129635295303693	47549	110972	8560323	473987
Sev	CM022185.2_RagTag	3300001	3350000	0.0104933761969124	47548	6995	666611	46624
AZ	CM022185.2_RagTag	3350001	3400000	0.0121803756736712	47457	107853	8854653	162177
WTX	CM022185.2_RagTag	3350001	3400000	0.0122373394066398	47457	104938	8575230	441600
Butte	CM022185.2_RagTag	3350001	3400000	0.0112001801379265	47457	59987	5355896	338944
Sev	CM022185.2_RagTag	3350001	3400000	0.0086418824194199	47455	5628	651247	60608
AZ	CM022185.2_RagTag	3400001	3450000	0.0122514855751873	43164	98310	8024333	176827
Sev	CM022185.2_RagTag	3400001	3450000	0.0100239618645145	43164	5911	589687	57773
Butte	CM022185.2_RagTag	3400001	3450000	0.0115439971153781	43164	56571	4900469	279211
WTX	CM022185.2_RagTag	3400001	3450000	0.0125087290659726	43164	97408	7787202	413958
Sev	CM022185.2_RagTag	3450001	3500000	0.0094680406099091	47527	6225	657475	55430
Butte	CM022185.2_RagTag	3450001	3500000	0.0115236885296357	47527	62152	5393412	309828
WTX	CM022185.2_RagTag	3450001	3500000	0.0120422128169114	47527	102338	8498272	531858
AZ	CM022185.2_RagTag	3450001	3500000	0.0116409970970343	47527	103086	8855427	174703
Sev	CM022185.2_RagTag	3500001	3550000	0.009188722588314	46863	5844	635997	66993
AZ	CM022185.2_RagTag	3500001	3550000	0.0116310141867577	46866	101372	8715663	188877
WTX	CM022185.2_RagTag	3500001	3550000	0.0119428738476018	46866	100500	8415060	489480
Butte	CM022185.2_RagTag	3500001	3550000	0.0111123578455976	46866	59025	5311654	312266
WTX	CM022185.2_RagTag	3550001	3600000	0.0104243739469552	48003	90634	8694431	426139
Butte	CM022185.2_RagTag	3550001	3600000	0.0096563279005578	48003	53104	5499399	260961
Sev	CM022185.2_RagTag	3550001	3600000	0.0077318469193071	48001	5167	668275	51770
AZ	CM022185.2_RagTag	3550001	3600000	0.0104799642703553	48003	93602	8931519	189051
WTX	CM022185.2_RagTag	3600001	3650000	0.0112810144294156	48302	98166	8701877	475503
Butte	CM022185.2_RagTag	3600001	3650000	0.0100237682412028	48302	55158	5502721	293519
Sev	CM022185.2_RagTag	3600001	3650000	0.008912257541891	48300	5941	666610	57920
AZ	CM022185.2_RagTag	3600001	3650000	0.0107038387706964	48302	96231	8990326	187054
AZ	CM022185.2_RagTag	3650001	3700000	0.0105128116550101	47806	93730	8915788	167352
Sev	CM022185.2_RagTag	3650001	3700000	0.0083632237200373	47804	5498	657402	59688
Butte	CM022185.2_RagTag	3650001	3700000	0.0101851809209768	47806	55290	5428475	308245
WTX	CM022185.2_RagTag	3650001	3700000	0.0111889190915666	47806	95863	8567673	515467
AZ	CM022185.2_RagTag	3700001	3750000	0.008483935370054	47819	75377	8884674	200936
Sev	CM022185.2_RagTag	3700001	3750000	0.0071592961927245	47819	4831	674787	42498
Butte	CM022185.2_RagTag	3700001	3750000	0.0077276168721536	47819	41990	5433758	304522
WTX	CM022185.2_RagTag	3700001	3750000	0.0089726861628105	47819	77308	8615926	469684
Sev	CM022185.2_RagTag	3750001	3800000	0.0071512673850806	48056	4786	669252	51678
Butte	CM022185.2_RagTag	3750001	3800000	0.0076972427612228	48062	42040	5461696	305744
WTX	CM022185.2_RagTag	3750001	3800000	0.0090832949052802	48062	77845	8570128	561652
AZ	CM022185.2_RagTag	3750001	3800000	0.0083877034623361	48062	75005	8942257	189523
AZ	CM022185.2_RagTag	3800001	3850000	0.0085124171734251	48605	77155	9063818	171132
Butte	CM022185.2_RagTag	3800001	3850000	0.007868310189811	48605	43587	5539563	293037
WTX	CM022185.2_RagTag	3800001	3850000	0.0087959766917904	48605	76372	8682606	552344
Sev	CM022185.2_RagTag	3800001	3850000	0.0063402632405659	48603	4319	681202	47873
